,Body,tags
0,"The learned Counsel Mr. Paranjape argued that the word ""Fraud"" used in Section 12(1)(c) of the Hindu Marriage Act, 1955, must also be understood in the sense in which it is defined in Section 17 of the Indian Contract Act, 1872. The question, therefore, is whether the provisions of Section 17 of the Indian Contract Act, 1872, apply to fraud as understood in Section 12(1)(c) of the Hindu Marriage Act, 1955.",['12' '17']
1,"71 Marata(J) final.doc affected by the impugned SEBC Act of 2018. The said writ petition inter alia, seek quashment of the SEBC Act, 2018 after examining its validity,legality and propriety. In the alternative, a writ in the nature of certiorari as prayer for, for quashing and setting aside Section 2(j), section 3(2) and section 3(4), Section 4, Section 5 and Section 9(2), 10, 12 of the impugned Act after examining its legality and propriety.
96 Marata(J) final.doc place reliance in case of State of Andhra Pradesh Vs. U.S.V. Balram4, where it is held that the proper approach should be to see whether relevant data and material referred to in the report of the Commission justify its conclusions. As far as the individual provisions are concerned, the learned senior counsel has mounted his attack on Section 4 of the impugned Act being violative of Articles 13, 32, 226 and 227. Further, according to the learned senior counsel, the contradictory provisions of the impugned Act are evidenced from plain reading of Sections, 2, 3 and 5 on one hand, for the purpose of providing reservation the legislature seeks to extend the benefits available to SC/ST and OBC vis-a-vis the creamy layer distinction. However, for the purpose of section 5, the legislature seeks to hold SEBC Maratha community as a separate and distinct from OBC. Thus, according to the learned counsel, the State legislature has chosen to approbate and reprobate by framing provisions to only selectively benefits the Maratha community. He would also further assert that Section 2(j) which defines the term 'SEBC' is also violating the essence of Article 14 as the legislature is attempting to create a class of Marathas within the already existing class of 4 1972 (1) scc 660 patil-sachin.
",['2' '3' '4' '5' '9']
2,"The Husband has agreed to pay to the Wife the First Instalment of Rs 3,00,000/- (Rupees Three Lakhs Only) by way of Demand Draft in the name of the wife namely ""Suchita Anandâ at the time filing of First Motion of Divorce Petition by way of mutual consent under section 13 (B) (1) of Hindu Marriage Act 1955.The Husband has further agreed to pay to the Wife the second instalment of Rs 3,00,000/- (Rupees Three Lakhs Only) by way of Demand Draft in the name of the wife namely âSuchita Anandâon or in this Court at the time of Second Motion of Divorce Petition filed undersection 13(B) (2) of Hindu Marriage Act, 1955 by way of mutual consent at Family Court, Dwarka, Delhi.The Husband has further agreed to pay to the Wife the third instalment of Rs 3,00,000/- (Rupees Three Lacs Only) by way of Demand Draft in the name of the wife namely âSuchita Anandâ at the time of quashing of the F.I.R No. 554/2021 U/S: 498A/377/406/506/34 IPC P.S. Dabri in the Honâble High Court of Delhi.Balance of Rs. 3,00,000/- (Rupees Three Lakhs Only) will be paid at the time of quashing of FIR No.53 of 2021, P.S. Gora Bazar under Section 294/323/427/506/34 IPC filed by the husband.
",['13B']
3,"5. The respondent no.2 due to matrimonial differences filed a complaint before Crime Against Women Cell, Mansarovar Park, Delhi which was culminated into the registration of FIR bearing no.572/2020 registered under sections 498A/406/34 IPC and section 4 of Dowry Prohibition Act, 1961 at P.S. Geeta Colony. The investigation is still pending and the charge sheet has not been filed.

",['4']
4,"It is not disputed before us that the requisite ceremonies for a valid marriage under the personal law of the parties have been gone into in this case, although the marriage is null and void by reason of the provisions of sections 5 and 11 of the Hindu Marriage Act, 1955. This Act was passed with the object of amending and modifying the law relating to marriages among Hindus. Under the customary law, there was no restriction for a male Hindu to marry more than one women. This right of the Hindu husband under the customary Hindu Law was curtailed for the first time in the then Bombay Province by enacting the Bombay Prevention of Hindu Bigamous Marriage Act, 1946, provisions whereof declared bigamy to be illegal. Under the provisions of the said Act and other similar laws enacted by other Provincial Legislatures, a second marriage by a Hindu person during the life time of the spouse was declared illegal and going through such a marriage was made penal. Consistent with the object of codifying the marriage laws amongst Hindus, all these State laws were repealed by the Hindu Marriage Act, 1955. Section 5 of the Hindu Marriage Act provides for the conditions for solemnisation of marriage between any two Hindus. Section 11 declares that a marriage solemnised after the commencement of the Act shall be null and void if it contravenes any of conditions specified in Clause (i), (iv) and (v) of section 5. One of the conditions for a marriage as required by section 5 is that neither party has a spouse living at the time of the marriage, and this is condition No. (i) in section 5. Section 11 also gives a remedy to either party to the marriage to file a petition for a declaration by a decree of nullity of marriage on any one of the said three conditions of section 5 being shown to the have been contravened. Obviously, the second marriage in such circumstances being void, it cannot create a legal status of husband and wife between the parties. It is true that section 11 also gives a right to the parties to the marriage to file a petition for a declaration of nullity by a decree of the Court , but the filing of the petition or passing the decree is not a condition precedent for putting an end to the marriage. What ultimately is declared on such a petition is nothing but the status of the party as on the date of the marriage, and therefore, the marriage does not continue to remain valid until a decree is passed. What is null and void cannot be deemed to be in existence for any purposes whatsoever. Under the circumstances, if a marriage is solemnised in contravention of any of the said three conditions referred to in section 5(i), the woman cannot get the status of the wife nor the male gets the status of a husband qua her. The second marriage does not continue to be valid till the passing of the decree for a nullity. The position is also clear from the fact that bigamy is made penal by section 17 of the Hindu Marriage Act which provides that any marriage between two Hindu solemnised after the commencement of this Act is void if at the date of such marriage either party had a husband or wife living and the provisions of sections 494 and 495 of the Indian Penal Code shall apply accordingly. The position is made further clear from the anxiety of the legislature to protect children of such a marriage by providing in section 16 that not withstanding that a marriage is null and void under section 11, any child of such marriage who would have been legitimate if the marriage had been valid, shall be legitimate, whether such child is born before or after the commencement of the Marriage Laws (Amendment) Act, 1976, and whether or not a decree of nullity is granted in respect of that marriage under this Act and whether or not the marriage is held to be void otherwise than on a petition under this Act. However, the rights of such a child are somewhat curtailed in the matter of inheritance to the property, because sub-section (3) of section 16 says that a child of such a marriage would not be entitled to any rights in or to the property of any person other than the parents. Having regard to all these provisions, the marriage of the petitioner with the respondent was void ab initio and the respondent could not get the status of a legally wedded wife inspite of the solemnisation of the marriage under the Hindu Law having gone into. Indeed, Mr. Gavnekar did not dispute this legal position. He, however, contended that the provisions of section 25 of the Hindu Marriage Act conferred a right of maintenance on the second wife and the word ""wife"" in section 125 of the Code of Criminal Procedure will have to be given a wider meaning as including a Hindu wife whose marriage may be otherwise void.",['5' '11' '16' '17' '3' '16' '25']
5,"Section 5 further declare that notwithstanding anything contained in Section 4, the claims of students or members belonging to SEBC, shall also be considered for allotment on unreserved seats and appointments in public services and posts which are to be filled on the basis of merit and whether a student or member belonging to such classes is selected on the basis of merit, the number of seats and appointments reserved for SEBC shall not, in an way, be affected. Section 7 provides for carrying forward of the reserved vacancies upto five years of direct recruitment and sub-section n(2) classifies that where the vacancy is carried forward, it shall not be counted against the quota of the vacancies reserved for the concerned classes of persons for the recruitment year to which it is carried forward. Section 8 casts a responsibility on the authorities of ensuring the compliance of the provisions of the Act and Section 9 imposes a penalty for acting in contravention or in a manner which would defeat the purpose of the Act. Section 16 provides for a Savings clause and reads patil-sachin.",['4' '5' '7' '8' '9' '16']
6,"71 Marata(J) final.doc affected by the impugned SEBC Act of 2018. The said writ petition inter alia, seek quashment of the SEBC Act, 2018 after examining its validity,legality and propriety. In the alternative, a writ in the nature of certiorari as prayer for, for quashing and setting aside Section 2(j), section 3(2) and section 3(4), Section 4, Section 5 and Section 9(2), 10, 12 of the impugned Act after examining its legality and propriety.
The affidavit highlights the quantifiable data in relation to the population of Maratha and extensively deal with the features of the said MSBCC report. It also makes a reference to the history of the Maratha community and proceeds to state that the State Government had placed the summary of the report of the Commission along with its recommendations, before both the Houses of the legislature as contemplated under Section 15 of the MSBCC Act 2005. The affidavit also deals with the contention of the earlier ESBC Act 2014 and proceeds to state that as per Section patil-sachin.",['2' '3' '4' '5' '9' '15']
7,"In the judgment in the case of C. Masilamani Mudaliar (supra) it is seen that the Will was dated 16.7.1950 and under the Will the property which was given to the widow was to provide for the maintenance of the widow. In spite of the fact that the Will in the case of C. Masilamani Mudaliar (supra) gave the property towards maintenance yet the Supreme Court held that the property which was given for maintenance by such wording of the Will, however the property given as a life-estate has to be taken as being given towards a pre-existing right of maintenance which existed under the shastric law and/or Hindu Adoptions and Maintenance Act and therefore the property given as life-interest for maintenance would be converted into a full ownership. In para 12 of the judgment in the case of C. Masilamani Mudaliar (supra) reference is made to the judgment in the case of Gumpha (supra) and it is observed that judgment in the case of Gumpha (supra) proceeded on the basis that the right of a Hindu male to dispose of his property is absolute and therefore there is a right to create a limited/restricted estate/life-estate in favour of a female but however if the right to maintenance can be read as being given in recognition of pre-existing rights as per C. Masilamani Mudaliar's case (supra), then the property given for maintenance would be taken out of Section 14(2) and would be included under Section 14(1) of the Hindu Succession Act. Para 26 of the judgment in the case of C. Masilamani Mudaliar's (supra) holds that when interpretations have to be given to the provision of a statute then the same should be in conformity with the constitutional goals to remove any handicap or discrimination against a Hindu female and all that was required for a property which is given as a life-estate to a Hindu female for becoming a full owner thereof was that the Hindu female must be found to have a pre-existing right either under the personal law or any other law of the country and that this personal law or other law would include right to maintenance under the law of the country which is the Hindu Adoptions and Maintenance Act. This is so categorically clarified in the very first line of para 29 of the said judgment where it is specified that the widow in C. Masilamani Mudaliar's case (supra) had a pre-existing right to maintenance under the Hindu Adoptions and Maintenance Act when the property was given to her for maintenance. I would like to note that the provision of Hindu Adoptions and Maintenance Act which is not stated in para 29 is the provision of Section 18 of the Hindu Adoptions and Maintenance Act which gives right to the wife for maintenance from the property of her husband. Second line of para 29 of the judgment in the case of C. Masilamani Mudaliar's (supra) lays down a specific ratio that once there is a pre-existing right of a Hindu wife to maintenance because of the Hindu Adoptions and Maintenance Act, then because of this reason the property given to the Hindu female has to be taken in lieu of her pre-existing right to maintenance and therefore the property given under the Will for a limited right of a life- estate, the life-estate will blossom into full ownership because of Section 14(1) of the Hindu Succession Act. Referring to para 28 of the judgment in the case of Gumpha (supra) in the later para 29 of the judgment in the case of C. Masilamani Mudaliar (supra), the Supreme Court has observed in the case of C. Masilamani Mudaliar (supra) that the restrictive interpretation put by the Bench of two Judges in the case of Gumpha (supra) that the life-estate will remain a life-estate is not sound in law and the Division Bench in the case of Gumpha (supra) did not approach the problem from a correct prospective by interpreting right of life-estate given under the Will only as a life-estate and not to have become a full ownership which it should be as per Section 14(1) of the Hindu Succession Act. In para 29 by referring to V. Tulasamma and Others Vs. Sesha Reddy (Dead) by Lr's (1977) 3 SCC 99, it is observed that a right acquired under a Will can be because of pre-existing right of maintenance under the shastric law, and once that pre-existing right to maintenance exists, under the shastric law then because of Section 14(1) of the Hindu Succession Act the restrictive estate given under the shastric law is wiped out and the widow becomes absolute owner of the property. The judgment in the case of Gumpha (supra) was therefore set aside by holding that what is required to be seen is not the language of the Will as to whether by the Will a Hindu husband gave the property to the wife as a life-estate or for maintenance but the issue was whether what is given as a life-estate or maintenance to the widow/wife is or is not because of a pre-existing right, and that since a pre-existing right clearly exists either under a shastric law or under Section 18 of the Hindu Adoptions and Maintenance Act, and once there does exist a pre-existing right for a life-estate to be created or for maintenance to be given, then the limited interest/life-interest/life-estate will get converted into the full ownership because of Section 14(1) of the Hindu Succession Act which specifically lays down that once there is a pre-existing right then what is given pursuant to a document being a Will would not result in a restrictive estate but the life-estate would become a full ownership",['14' '18']
8,"It is therefore seen that in Gumpha's case (supra) there was a Will executed in favour of the widow which specifically gave only a life-estate. Supreme Court held in Gumpha's case (supra) that the life-interest/life-estate in favour of a widow did not convert the life-interest/life-estate into a full ownership because by a Will a Hindu male had a right to give restricted ownership in his property to his widow. Supreme Court has in para 9 in Gumpha's case (supra) specifically held that legislature was aware of the unrestricted power of the Hindu male to dispose of his property and which is recognized as Section 14(2) of the Hindu Succession Act and therefore such right to give full estate by a Hindu male cannot be curtailed by converting the life-estate into full estate and the Will granting the life-estate has to be taken as a document/instrument which is covered under Section 14(2) and not Section 14(1) of the Hindu Succession Act. In para 12 of the judgment in Gumpha's case (supra) Supreme Court has observed that a Hindu can bequeath his interest even in a joint property and the effect on the right of the widow of the testator given as life-estate for maintenance is for maintenance and not in lieu of maintenance i.e life-estate is given for maintenance and not in lieu of maintenance, and consequently the life-estate granted to the widow falls under Section 14(2) and not under Section 14(1) of the Hindu Succession Act.
",['14']
9,"With great respect, we are afraid this may not be the proper construction of Section 29 (2) of the Hindu Marriage Act Section 29 (2) did not operate to incorporate into the Hindu Marriage Act any provision of the Nair Act or any right recognised thereunder. That section only limited the operation of the provisions of Section 13 of the Hindu Marriage Act (for that matter other provisions too) to cases other than those contemplated by Section 29 (2) of the Act, cases in which, as we have said earlier, provisions had been made ia the special enactments. The provisions of the Hindu Marriage Act would not apply to such cases by reason of Section 29 (2). That provision cannot be read as incorporating any provision of or right under the special enactment into the Hindu Marriage Act. The learned Judge further finds-",['29']
